"CBD010.Code.or.Value","CBD010.Value.Description","CBD010.Count","CBD010.Cumulative","CBD010.Skip.to.Item"
"1","Yes",1913,1913,NA
"2","No",7975,9888,NA
"7","Refused",1,9889,NA
"9","Don't know",4,9893,NA
".","Missing",256,10149,NA
