"LBDSF1LC.Code.or.Value","LBDSF1LC.Value.Description","LBDSF1LC.Count","LBDSF1LC.Cumulative","LBDSF1LC.Skip.to.Item"
"0","At or above the detection limit",2734,2734,NA
"1","Below lower detection limit",0,2734,NA
".","Missing",388,3122,NA
