"RFXT093.Code.or.Value","RFXT093.Value.Description","RFXT093.Count","RFXT093.Cumulative","RFXT093.Skip.to.Item"
"805 to 814","Range of Values",33693,33693,NA
".","Missing",28,33721,NA
