"RXDCOUNT.Code.or.Value","RXDCOUNT.Value.Description","RXDCOUNT.Count","RXDCOUNT.Cumulative","RXDCOUNT.Skip.to.Item"
"1 to 23","Range of Values",14100,14100,NA
".","Missing",6094,20194,NA
