"AUXU500L.Code.or.Value","AUXU500L.Value.Description","AUXU500L.Count","AUXU500L.Cumulative","AUXU500L.Skip.to.Item"
"-10 to 100","Range of Values",4300,4300,NA
"666","No response",0,4300,NA
"888","Could not obtain",24,4324,NA
".","Missing",258,4582,NA
