"LBXFSH.Code.or.Value","LBXFSH.Value.Description","LBXFSH.Count","LBXFSH.Cumulative","LBXFSH.Skip.to.Item"
"0.14 to 143.39","Range of Values",829,829,NA
".","Missing",5929,6758,NA
