"DBD895.Code.or.Value","DBD895.Value.Description","DBD895.Count","DBD895.Cumulative","DBD895.Skip.to.Item"
"1 to 21","Range of Values",7331,7331,""
"0","None",2249,9580,"DBD905"
"5555","More than 21 meals per week",1,9581,""
"7777","Refused",1,9582,"DBD905"
"9999","Dont Know",12,9594,"DBD905"
".","Missing",555,10149,""
