"DBD061.Code.or.Value","DBD061.Value.Description","DBD061.Count","DBD061.Cumulative","DBD061.Skip.to.Item"
"1 to 1825","Range of Values",1498,1498,""
"0","Never",280,1778,"DBD085"
"777777","Refused",0,1778,""
"999999","Don't know",1,1779,""
".","Missing",8758,10537,""
