"MCQ150Q.Code.or.Value","MCQ150Q.Value.Description","MCQ150Q.Count","MCQ150Q.Cumulative","MCQ150Q.Skip.to.Item"
"0 to 210","Range of Values",3431,3431,NA
"77777","Refused",0,3431,NA
"99999","Don't know",3,3434,NA
".","Missing",7036,10470,NA
