"DRD370M.Code.or.Value","DRD370M.Value.Description","DRD370M.Count","DRD370M.Cumulative","DRD370M.Skip.to.Item"
"1","Yes",1715,1715,""
"2","No",3574,5289,"DRD370N"
".","Missing",4049,9338,""
