"RFXT056.Code.or.Value","RFXT056.Value.Description","RFXT056.Count","RFXT056.Cumulative","RFXT056.Skip.to.Item"
"478 to 486","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
