"VIDOLFM.Code.or.Value","VIDOLFM.Value.Description","VIDOLFM.Count","VIDOLFM.Cumulative","VIDOLFM.Skip.to.Item"
"5 to 9","Range of Values",6384,6384,NA
".","Missing",596,6980,NA
