"LBX066LA.Code.or.Value","LBX066LA.Value.Description","LBX066LA.Count","LBX066LA.Cumulative","LBX066LA.Skip.to.Item"
"1.3 to 77.4","Range of Values",1931,1931,NA
".","Missing",343,2274,NA
