"MIALANG.Code.or.Value","MIALANG.Value.Description","MIALANG.Count","MIALANG.Cumulative","MIALANG.Skip.to.Item"
"1","English",6382,6382,NA
"2","Spanish",595,6977,NA
".","Missing",2994,9971,NA
