"DXXTRBMD.Code.or.Value","DXXTRBMD.Value.Description","DXXTRBMD.Count","DXXTRBMD.Cumulative","DXXTRBMD.Skip.to.Item"
"0.303 to 1.25","Range of Values",6517,6517,NA
".","Missing",1217,7734,NA
