"DID350.Code.or.Value","DID350.Value.Description","DID350.Count","DID350.Cumulative","DID350.Skip.to.Item"
"1 to 365","Range of Values",403,403,NA
"0","None",71,474,NA
"7777","Refused",0,474,NA
"9999","Don't know",2,476,NA
".","Missing",9346,9822,NA
