"WTSAU06.Code.or.Value","WTSAU06.Value.Description","WTSAU06.Count","WTSAU06.Cumulative","WTSAU06.Skip.to.Item"
"0 to 474908.76489","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
