"RFXRFXDC.Code.or.Value","RFXRFXDC.Value.Description","RFXRFXDC.Count","RFXRFXDC.Cumulative","RFXRFXDC.Skip.to.Item"
"0","False",21019,21019,NA
"1","True",30057,51076,NA
".","Missing",0,51076,NA
