"DS2TVB1.Code.or.Value","DS2TVB1.Value.Description","DS2TVB1.Count","DS2TVB1.Cumulative","DS2TVB1.Skip.to.Item"
"0.005 to 1500","Range of Values",1302,1302,NA
".","Missing",8511,9813,NA
