"DS2ISODI.Code.or.Value","DS2ISODI.Value.Description","DS2ISODI.Count","DS2ISODI.Cumulative","DS2ISODI.Skip.to.Item"
"0 to 10000","Range of Values",515,515,NA
".","Missing",5133,5648,NA
