"HCQ170.Code.or.Value","HCQ170.Value.Description","HCQ170.Count","HCQ170.Cumulative","HCQ170.Skip.to.Item"
"1","True",37,37,NA
"2","False",3,40,NA
"7","Refused",0,40,NA
"9","Don't know",17,57,NA
".","Missing",55,112,NA
