"DR2IM181.Code.or.Value","DR2IM181.Value.Description","DR2IM181.Count","DR2IM181.Cumulative","DR2IM181.Skip.to.Item"
"0 to 82.135","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
