"LBDF04LC.Code.or.Value","LBDF04LC.Value.Description","LBDF04LC.Count","LBDF04LC.Cumulative","LBDF04LC.Skip.to.Item"
"0","detectable result",1119,1119,NA
"1","below detectable limit",747,1866,NA
".","Missing",419,2285,NA
