"LBX177LA.Code.or.Value","LBX177LA.Value.Description","LBX177LA.Count","LBX177LA.Cumulative","LBX177LA.Skip.to.Item"
"0.5 to 52.1","Range of Values",1873,1873,NA
".","Missing",401,2274,NA
