"RFXC051.Code.or.Value","RFXC051.Value.Description","RFXC051.Count","RFXC051.Cumulative","RFXC051.Skip.to.Item"
"-7.625 to 4.08","Range of Values",51065,51065,NA
".","Missing",11,51076,NA
