"LBDBB1LC.Code.or.Value","LBDBB1LC.Value.Description","LBDBB1LC.Count","LBDBB1LC.Cumulative","LBDBB1LC.Skip.to.Item"
"0","At or above the detection limit",214,214,NA
"1","Below lower detection limit",33,247,NA
".","Missing",0,247,NA
