"BIXC013K.Code.or.Value","BIXC013K.Value.Description","BIXC013K.Count","BIXC013K.Cumulative","BIXC013K.Skip.to.Item"
"19.4 to 384.41","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
