"URDMX5LC.Code.or.Value","URDMX5LC.Value.Description","URDMX5LC.Count","URDMX5LC.Cumulative","URDMX5LC.Skip.to.Item"
"0","At or above detection limit",2377,2377,NA
"1","Below lower detection limit",21,2398,NA
".","Missing",107,2505,NA
