"URXP10.Code.or.Value","URXP10.Value.Description","URXP10.Count","URXP10.Cumulative","URXP10.Skip.to.Item"
"3.5 to 8685.6","Range of Values",2581,2581,NA
".","Missing",137,2718,NA
