"LBXALC.Code.or.Value","LBXALC.Value.Description","LBXALC.Count","LBXALC.Cumulative","LBXALC.Skip.to.Item"
"0.5 to 229","Range of Values",6282,6282,NA
".","Missing",1153,7435,NA
