"MCQ160k.Code.or.Value","MCQ160k.Value.Description","MCQ160k.Count","MCQ160k.Cumulative","MCQ160k.Skip.to.Item"
"1","Yes",320,320,NA
"2","No",5441,5761,NA
"7","Refused",0,5761,NA
"9","Don't know",8,5769,NA
".","Missing",4001,9770,NA
