"BAXPFC22.Code.or.Value","BAXPFC22.Value.Description","BAXPFC22.Count","BAXPFC22.Cumulative","BAXPFC22.Skip.to.Item"
"1","Pass",23,23,"BAXPFC31"
"2","Dnp(did not pass)",9,32,""
".","Missing",979,1011,""
