"SXD633.Code.or.Value","SXD633.Value.Description","SXD633.Count","SXD633.Cumulative","SXD633.Skip.to.Item"
"10 to 56","Range of Values",1563,1563,NA
"9","9 years or younger",17,1580,NA
"77","Refused",6,1586,NA
"99","Don't know",2,1588,NA
".","Missing",3469,5057,NA
