"LBXD05.Code.or.Value","LBXD05.Value.Description","LBXD05.Count","LBXD05.Cumulative","LBXD05.Skip.to.Item"
"13.65 to 5396.7","Range of Values",1220,1220,NA
".","Missing",1327,2547,NA
