"VIXKLD2.Code.or.Value","VIXKLD2.Value.Description","VIXKLD2.Count","VIXKLD2.Cumulative","VIXKLD2.Skip.to.Item"
"36.5 to 65.5","Range of Values",6460,6460,NA
"88","Could not obtain",67,6527,NA
".","Missing",453,6980,NA
