"URXPIM.Code.or.Value","URXPIM.Value.Description","URXPIM.Count","URXPIM.Cumulative","URXPIM.Skip.to.Item"
"0.0424 to 0.0424","Range of Values",2455,2455,NA
".","Missing",301,2756,NA
