"LBXSPH.Code.or.Value","LBXSPH.Value.Description","LBXSPH.Count","LBXSPH.Cumulative","LBXSPH.Skip.to.Item"
"1.5 to 7.6","Range of Values",6377,6377,NA
".","Missing",540,6917,NA
