"LBDHEM.Code.or.Value","LBDHEM.Value.Description","LBDHEM.Count","LBDHEM.Cumulative","LBDHEM.Skip.to.Item"
"1","Positive",49,49,NA
"2","Negative",7836,7885,NA
".","Missing",706,8591,NA
