"URXCEM.Code.or.Value","URXCEM.Value.Description","URXCEM.Count","URXCEM.Cumulative","URXCEM.Skip.to.Item"
"4.92 to 6480","Range of Values",2479,2479,NA
".","Missing",126,2605,NA
