"DS1INIAC.Code.or.Value","DS1INIAC.Value.Description","DS1INIAC.Count","DS1INIAC.Cumulative","DS1INIAC.Skip.to.Item"
"0.078 to 1500","Range of Values",1308,1308,NA
".","Missing",4650,5958,NA
