"RFXT128.Code.or.Value","RFXT128.Value.Description","RFXT128.Count","RFXT128.Cumulative","RFXT128.Skip.to.Item"
"1114 to 1123","Range of Values",33681,33681,NA
".","Missing",40,33721,NA
