"LBC074LA.Code.or.Value","LBC074LA.Value.Description","LBC074LA.Count","LBC074LA.Cumulative","LBC074LA.Skip.to.Item"
"0.15 to 65.95","Range of Values",247,247,NA
".","Missing",0,247,NA
