"HCQ070.Code.or.Value","HCQ070.Value.Description","HCQ070.Count","HCQ070.Cumulative","HCQ070.Skip.to.Item"
"1","Yes",48,48,"HCQ090"
"2","No",10,58,""
"7","Refused",0,58,""
"9","Don't know",0,58,""
".","Missing",54,112,""
