"DRD370BQ.Code.or.Value","DRD370BQ.Value.Description","DRD370BQ.Count","DRD370BQ.Cumulative","DRD370BQ.Skip.to.Item"
"1 to 25","Range of Values",1890,1890,NA
".","Missing",7923,9813,NA
