"OPDUSE.Code.or.Value","OPDUSE.Value.Description","OPDUSE.Count","OPDUSE.Cumulative","OPDUSE.Skip.to.Item"
"0","No",2376,2376,NA
"1","Questionable",15,2391,NA
"2","Yes",71,2462,NA
".","Missing",472,2934,NA
