"BPQ050A.Code.or.Value","BPQ050A.Value.Description","BPQ050A.Count","BPQ050A.Cumulative","BPQ050A.Skip.to.Item"
"1","Yes",1567,1567,NA
"2","No",284,1851,NA
"7","Refused",0,1851,NA
"9","Don't know",0,1851,NA
".","Missing",4476,6327,NA
