"LBC114LA.Code.or.Value","LBC114LA.Value.Description","LBC114LA.Count","LBC114LA.Cumulative","LBC114LA.Skip.to.Item"
"0.1 to 4.45","Range of Values",247,247,NA
".","Missing",0,247,NA
