"AUDTYL35.Code.or.Value","AUDTYL35.Value.Description","AUDTYL35.Count","AUDTYL35.Cumulative","AUDTYL35.Skip.to.Item"
"0 to 2.91","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
