"DR1IM181.Code.or.Value","DR1IM181.Value.Description","DR1IM181.Count","DR1IM181.Cumulative","DR1IM181.Skip.to.Item"
"0 to 100.092","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
