"DR1ITFAT.Code.or.Value","DR1ITFAT.Value.Description","DR1ITFAT.Count","DR1ITFAT.Cumulative","DR1ITFAT.Skip.to.Item"
"0 to 187.3","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
