"DS2IVB2.Code.or.Value","DS2IVB2.Value.Description","DS2IVB2.Count","DS2IVB2.Cumulative","DS2IVB2.Skip.to.Item"
"0.013 to 200","Range of Values",1747,1747,NA
".","Missing",4156,5903,NA
