"DS1ISELE.Code.or.Value","DS1ISELE.Value.Description","DS1ISELE.Count","DS1ISELE.Cumulative","DS1ISELE.Skip.to.Item"
"0.2 to 100000","Range of Values",921,921,NA
".","Missing",4449,5370,NA
