"DRD370I.Code.or.Value","DRD370I.Value.Description","DRD370I.Count","DRD370I.Cumulative","DRD370I.Skip.to.Item"
"1","Yes",108,108,""
"2","No",5013,5121,"DRD370J"
".","Missing",4692,9813,""
