"LBXMS1.Code.or.Value","LBXMS1.Value.Description","LBXMS1.Count","LBXMS1.Cumulative","LBXMS1.Skip.to.Item"
"1","Yes",2964,2964,NA
"2","No",6658,9622,NA
".","Missing",307,9929,NA
