"ORXH51.Code.or.Value","ORXH51.Value.Description","ORXH51.Count","ORXH51.Cumulative","ORXH51.Skip.to.Item"
"1","Positive",18,18,NA
"2","Negative",4392,4410,NA
"3","Not evaluated",386,4796,NA
".","Missing",0,4796,NA
