"URDFLOW3.Code.or.Value","URDFLOW3.Value.Description","URDFLOW3.Count","URDFLOW3.Cumulative","URDFLOW3.Skip.to.Item"
"0.042 to 10.923","Range of Values",99,99,NA
".","Missing",8192,8291,NA
