"DS1TKCAL.Code.or.Value","DS1TKCAL.Value.Description","DS1TKCAL.Count","DS1TKCAL.Cumulative","DS1TKCAL.Skip.to.Item"
"0.2 to 870","Range of Values",964,964,NA
".","Missing",8798,9762,NA
