"SSDE1_N.Code.or.Value","SSDE1_N.Value.Description","SSDE1_N.Count","SSDE1_N.Cumulative","SSDE1_N.Skip.to.Item"
"0.21 to 43.1","Range of Values",1567,1567,NA
".","Missing",211,1778,NA
