"CFDCST1.Code.or.Value","CFDCST1.Value.Description","CFDCST1.Count","CFDCST1.Cumulative","CFDCST1.Skip.to.Item"
"0 to 9","Range of Values",1467,1467,NA
".","Missing",220,1687,NA
