"LBCPDTLA.Code.or.Value","LBCPDTLA.Value.Description","LBCPDTLA.Count","LBCPDTLA.Cumulative","LBCPDTLA.Skip.to.Item"
"0.85 to 680","Range of Values",247,247,NA
".","Missing",0,247,NA
