"DXXL1BMD.Code.or.Value","DXXL1BMD.Value.Description","DXXL1BMD.Count","DXXL1BMD.Cumulative","DXXL1BMD.Skip.to.Item"
"0 to 1.684","Range of Values",2213,2213,NA
".","Missing",685,2898,NA
