"LBDTRSI.Code.or.Value","LBDTRSI.Value.Description","LBDTRSI.Count","LBDTRSI.Cumulative","LBDTRSI.Skip.to.Item"
"0.147 to 47.791","Range of Values",3146,3146,NA
".","Missing",183,3329,NA
