"MPQ120ae.Code.or.Value","MPQ120ae.Value.Description","MPQ120ae.Count","MPQ120ae.Cumulative","MPQ120ae.Skip.to.Item"
"40","Foot - right",112,112,NA
".","Missing",4768,4880,NA
