"AUXTCOMR.Code.or.Value","AUXTCOMR.Value.Description","AUXTCOMR.Count","AUXTCOMR.Cumulative","AUXTCOMR.Skip.to.Item"
"0 to 4.2","Range of Values",1136,1136,NA
"777","Refused",1,1137,NA
"888","Could not obtain",7,1144,NA
".","Missing",66,1210,NA
